traj,tr,delay,rep,mode,rmse_reference_engine,rmse_frozen_instrumented,abs_diff
lemniscate,0.35,12,1,honest,0.5960813185254025,0.5960813185254025,0.0
lemniscate,0.35,12,2,T3,1.2246727553457601,1.2246727553457601,0.0
lemniscate,0.35,12,2,honest,0.5957049019684048,0.5957049019684048,0.0
lemniscate,0.35,12,3,T3,1.1734334674902556,1.1734334674902556,0.0
lemniscate,0.35,12,3,honest,0.5985343712246682,0.5985343712246682,0.0
lemniscate,0.35,34,0,T3,1.1507700954607774,1.1507700954607774,0.0
lemniscate,0.35,34,0,honest,1.5943092541270205,1.5943092541270205,0.0
lemniscate,0.35,34,1,T3,1.0573450868910206,1.0573450868910206,0.0
lemniscate,0.35,34,1,honest,1.6027258261200696,1.6027258261200696,0.0
lemniscate,0.35,34,2,T3,1.174313563903085,1.174313563903085,0.0
lemniscate,0.35,34,2,honest,1.5914193004059867,1.5914193004059867,0.0
lemniscate,0.35,34,3,T3,1.150674866211111,1.150674866211111,0.0
lemniscate,0.35,34,3,honest,1.602773006725138,1.6027730067251378,2.220446049250313e-16
