q_dirs,traj,tr,delay,rep,paired_id,rmse_t3,rmse_honest,rmse_gap_t3_minus_honest
4,zigzag,0.25,34,7,q4_zigzag_tr0.25_d34_rep7,1.7635026090564059,1.9938886073603195,-0.2303859983039136
4,zigzag,0.35,12,0,q4_zigzag_tr0.35_d12_rep0,1.0953322386074906,1.431086750175348,-0.3357545115678573
4,zigzag,0.35,12,1,q4_zigzag_tr0.35_d12_rep1,0.9824775675037607,1.3019811859945958,-0.3195036184908351
4,zigzag,0.35,12,2,q4_zigzag_tr0.35_d12_rep2,1.1506852870995818,1.2415853132250467,-0.09090002612546488
4,zigzag,0.35,12,3,q4_zigzag_tr0.35_d12_rep3,0.940331708469606,1.3456793557632774,-0.40534764729367134
4,zigzag,0.35,12,4,q4_zigzag_tr0.35_d12_rep4,0.9392618360395768,1.3519604611211828,-0.41269862508160604
4,zigzag,0.35,12,5,q4_zigzag_tr0.35_d12_rep5,0.8401119039776133,1.4027221045907168,-0.5626102006131035
4,zigzag,0.35,12,6,q4_zigzag_tr0.35_d12_rep6,1.0851129803883934,1.2934954161072176,-0.2083824357188242
4,zigzag,0.35,12,7,q4_zigzag_tr0.35_d12_rep7,1.1585917676865496,1.2666901403599107,-0.10809837267336109
4,zigzag,0.35,34,0,q4_zigzag_tr0.35_d34_rep0,1.6945038028938533,1.8597901407113153,-0.16528633781746205
4,zigzag,0.35,34,1,q4_zigzag_tr0.35_d34_rep1,1.4901189537678436,1.8182093462702251,-0.3280903925023815
4,zigzag,0.35,34,2,q4_zigzag_tr0.35_d34_rep2,1.4198805350466104,1.890789381837499,-0.4709088467908886
4,zigzag,0.35,34,3,q4_zigzag_tr0.35_d34_rep3,1.5518081735864577,1.8340406530933562,-0.28223247950689845
4,zigzag,0.35,34,4,q4_zigzag_tr0.35_d34_rep4,1.5028491583740087,1.7378207522763265,-0.2349715939023178
4,zigzag,0.35,34,5,q4_zigzag_tr0.35_d34_rep5,1.6590215218098971,1.8145057463738206,-0.1554842245639234
4,zigzag,0.35,34,6,q4_zigzag_tr0.35_d34_rep6,1.659679227238254,1.9698789776830967,-0.3101997504448428
4,zigzag,0.35,34,7,q4_zigzag_tr0.35_d34_rep7,1.6656212604456229,1.8797664264305423,-0.2141451659849194
4,lemniscate,0.25,12,0,q4_lemniscate_tr0.25_d12_rep0,0.6280946515246786,0.8225938258222678,-0.19449917429758923
4,lemniscate,0.25,12,1,q4_lemniscate_tr0.25_d12_rep1,0.6409447676532749,0.826498794259596,-0.18555402660632114
4,lemniscate,0.25,12,2,q4_lemniscate_tr0.25_d12_rep2,0.8817897336320515,0.8202158476995648,0.061573885932486694
4,lemniscate,0.25,12,3,q4_lemniscate_tr0.25_d12_rep3,1.256798992033299,0.8231439985234074,0.43365499350989156
4,lemniscate,0.25,12,4,q4_lemniscate_tr0.25_d12_rep4,1.2547656459469598,0.8228571816907746,0.43190846425618523
4,lemniscate,0.25,12,5,q4_lemniscate_tr0.25_d12_rep5,0.6444275346220325,0.8220606050707291,-0.17763307044869658
4,lemniscate,0.25,12,6,q4_lemniscate_tr0.25_d12_rep6,0.675078547155817,0.8265017358622412,-0.15142318870642413
4,lemniscate,0.25,12,7,q4_lemniscate_tr0.25_d12_rep7,1.1503102245374037,0.82354072482809,0.3267694997093137
4,lemniscate,0.25,34,0,q4_lemniscate_tr0.25_d34_rep0,1.5374431156204946,1.7266633586359972,-0.18922024301550255
4,lemniscate,0.25,34,1,q4_lemniscate_tr0.25_d34_rep1,1.4908613613958999,1.7157750057587307,-0.2249136443628308
4,lemniscate,0.25,34,2,q4_lemniscate_tr0.25_d34_rep2,1.5464447239667927,1.6659262328108166,-0.11948150884402398
4,lemniscate,0.25,34,3,q4_lemniscate_tr0.25_d34_rep3,1.4659494786953464,1.6578245320628857,-0.1918750533675393
4,lemniscate,0.25,34,4,q4_lemniscate_tr0.25_d34_rep4,1.5950279945720354,1.6663193905890172,-0.07129139601698187
4,lemniscate,0.25,34,5,q4_lemniscate_tr0.25_d34_rep5,1.5567707548084975,1.6881130846799435,-0.131342329871446
4,lemniscate,0.25,34,6,q4_lemniscate_tr0.25_d34_rep6,1.5975031899540921,1.6662872836692333,-0.06878409371514116
4,lemniscate,0.25,34,7,q4_lemniscate_tr0.25_d34_rep7,1.4938837172773771,1.6977204539111965,-0.2038367366338194
4,lemniscate,0.35,12,0,q4_lemniscate_tr0.35_d12_rep0,1.1394154594758592,0.8202646163625125,0.31915084311334674
4,lemniscate,0.35,12,1,q4_lemniscate_tr0.35_d12_rep1,1.1747822252990077,0.8216668357752704,0.3531153895237372
4,lemniscate,0.35,12,2,q4_lemniscate_tr0.35_d12_rep2,1.1628610295711563,0.8207822148881974,0.342078814682959
4,lemniscate,0.35,12,3,q4_lemniscate_tr0.35_d12_rep3,1.2797562578752149,0.8201649377412276,0.4595913201339873
4,lemniscate,0.35,12,4,q4_lemniscate_tr0.35_d12_rep4,1.1920059282051594,0.8211902175348492,0.37081571067031016
4,lemniscate,0.35,12,5,q4_lemniscate_tr0.35_d12_rep5,1.3161654693320677,0.8205639963590914,0.4956014729729763
4,lemniscate,0.35,12,6,q4_lemniscate_tr0.35_d12_rep6,0.6357727409446616,0.8209387537429983,-0.18516601279833667
4,lemniscate,0.35,12,7,q4_lemniscate_tr0.35_d12_rep7,1.1578854890351387,0.8219218545559263,0.3359636344792124
4,lemniscate,0.35,34,0,q4_lemniscate_tr0.35_d34_rep0,1.4542965900360818,1.654872292627559,-0.20057570259147717
4,lemniscate,0.35,34,1,q4_lemniscate_tr0.35_d34_rep1,1.468768978929854,1.678453213513232,-0.20968423458337804
4,lemniscate,0.35,34,2,q4_lemniscate_tr0.35_d34_rep2,1.4397996021685395,1.6583679787932002,-0.21856837662466067
4,lemniscate,0.35,34,3,q4_lemniscate_tr0.35_d34_rep3,1.3104357473034765,1.6961281644098118,-0.3856924171063354
4,lemniscate,0.35,34,4,q4_lemniscate_tr0.35_d34_rep4,1.3554125460775202,1.707825186996591,-0.3524126409190709
4,lemniscate,0.35,34,5,q4_lemniscate_tr0.35_d34_rep5,1.3868716235766234,1.7726168692818274,-0.38574524570520397
4,lemniscate,0.35,34,6,q4_lemniscate_tr0.35_d34_rep6,1.431024512082357,1.7234750133237169,-0.29245050124135985
4,lemniscate,0.35,34,7,q4_lemniscate_tr0.35_d34_rep7,1.2480693758681802,1.7782837104785925,-0.5302143346104122
8,circle,0.25,12,0,q8_circle_tr0.25_d12_rep0,0.3343968980389165,0.3548632638213909,-0.020466365782474405
8,circle,0.25,12,1,q8_circle_tr0.25_d12_rep1,0.3183583050739596,0.35444394974174015,-0.036085644667780525
8,circle,0.25,12,2,q8_circle_tr0.25_d12_rep2,0.32468664259492797,0.36925412560236087,-0.044567483007432906
8,circle,0.25,12,3,q8_circle_tr0.25_d12_rep3,0.3203352671383409,0.3530513012068797,-0.032716034068538846
8,circle,0.25,12,4,q8_circle_tr0.25_d12_rep4,0.32043036834869953,0.35376404303372383,-0.033333674685024295
8,circle,0.25,12,5,q8_circle_tr0.25_d12_rep5,0.34458782360802676,0.357465291180466,-0.012877467572439238
8,circle,0.25,12,6,q8_circle_tr0.25_d12_rep6,0.3347728883764834,0.3533676730120333,-0.01859478463554992
8,circle,0.25,12,7,q8_circle_tr0.25_d12_rep7,0.3872965058342529,0.35358959728081296,0.03370690855343994
