q_dirs,traj,tr,delay,rep,paired_id,vote_bin_switch_rate,vote_switch_chord2_mean,agg_cell_switch_rate,agg_cell_jump_chord2_mean,agg_boundary_proximity_mean,path_event_rate,endpoint_wrap_rate,branch_event_rate,vote_path_coincident_rate,positive_err2_increment_t3,positive_err2_increment_honest,counterfactual_event_cost_mean,positive_counterfactual_event_cost,rmse_t3,rmse_honest,rmse_gap_t3_minus_honest
4,lemniscate,0.25,34,3,q4_lemniscate_tr0.25_d34_rep3,0.299,0.7095999999999999,0.31,0.74,0.10802900781956756,0.15,0.0,0.15,0.13,0.8777009235261398,0.8233273927441696,-0.010483772387997192,1.0634730522740214,1.4659494786953464,1.6578245320628857,-0.1918750533675393
4,lemniscate,0.25,34,4,q4_lemniscate_tr0.25_d34_rep4,0.2602,0.6136,0.25,0.62,0.12158044776470135,0.15,0.0,0.15,0.1,0.877844846089457,0.821871238594518,0.025238798531369018,1.0197091618635852,1.5950279945720354,1.6663193905890172,-0.07129139601698187
4,lemniscate,0.25,34,5,q4_lemniscate_tr0.25_d34_rep5,0.214,0.4296,0.22,0.44,0.06539184970509676,0.17,0.0,0.17,0.08,0.9443487880213024,0.8875641737136335,-0.02678344468672274,1.2102162072475817,1.5567707548084975,1.6881130846799435,-0.131342329871446
4,lemniscate,0.25,34,6,q4_lemniscate_tr0.25_d34_rep6,0.2234,0.4828,0.21,0.46,0.08054214217444222,0.19,0.0,0.19,0.08,0.9543147751836059,0.8254096253194857,0.0013216301530351352,1.340946477444313,1.5975031899540921,1.6662872836692333,-0.06878409371514116
4,lemniscate,0.25,34,7,q4_lemniscate_tr0.25_d34_rep7,0.252,0.584,0.26,0.62,0.08957871725882946,0.13,0.0,0.13,0.09,0.8411457011102622,0.868721841350389,0.0332266960650675,0.9600590237493051,1.4938837172773771,1.6977204539111965,-0.2038367366338194
4,lemniscate,0.35,12,0,q4_lemniscate_tr0.35_d12_rep0,0.648,2.3348,0.7,2.58,0.18723412113494792,0.36,0.0,0.36,0.36,0.2948297807480321,0.3876361651741622,0.012282792586020934,0.3859915371385048,1.1394154594758592,0.8202646163625125,0.31915084311334674
4,lemniscate,0.35,12,1,q4_lemniscate_tr0.35_d12_rep1,0.6348,2.2876,0.69,2.54,0.1715646805725109,0.66,0.0,0.66,0.64,0.28220091717019663,0.38580591539385994,0.012878476247315404,0.46758583729393943,1.1747822252990077,0.8216668357752704,0.3531153895237372
4,lemniscate,0.35,12,2,q4_lemniscate_tr0.35_d12_rep2,0.629,2.2632,0.68,2.5,0.17676622831647215,0.4,0.0,0.4,0.38,0.3519742595626288,0.3866134144380512,0.01185867653194811,0.4365802885793518,1.1628610295711563,0.8207822148881974,0.342078814682959
4,lemniscate,0.35,12,3,q4_lemniscate_tr0.35_d12_rep3,0.7452,2.7872000000000003,0.8,3.06,0.17657230808666924,0.65,0.0,0.65,0.64,0.2533013503084531,0.38981422942847144,0.007210131205951524,0.4245419629853737,1.2797562578752149,0.8201649377412276,0.4595913201339873
4,lemniscate,0.35,12,4,q4_lemniscate_tr0.35_d12_rep4,0.6348,2.2828,0.69,2.54,0.17599968505514163,0.52,0.0,0.52,0.51,0.28670088727414444,0.3867768993166519,0.01698864033950447,0.4818187654696059,1.1920059282051594,0.8211902175348492,0.37081571067031016
