traj,tr,delay,mc,boot,gap_h_minus_t3,gap_h_minus_t3_ci_lo,gap_h_minus_t3_ci_hi,energy_relief,energy_relief_ci_lo,energy_relief_ci_hi,abs_relief,abs_relief_ci_lo,abs_relief_ci_hi,osc_change_pct,osc_change_pct_ci_lo,osc_change_pct_ci_hi,edot_change_pct,edot_change_pct_ci_lo,edot_change_pct_ci_hi,tail_delta,tail_delta_ci_lo,tail_delta_ci_hi,raw_cos_vel,raw_cos_vel_ci_lo,raw_cos_vel_ci_hi,mechanism_class_mean
square,0.4,34,50,1000,0.5727365371266353,0.561015203701656,0.5858840173838801,0.2858925941895277,0.27819496353080975,0.2944207552187513,0.1606265024171213,0.15354333437731993,0.1683536735082599,-37.55448977850734,-38.475652149197806,-36.720927409256596,-2.308163802539559,-2.822890238402673,-1.7811844675510196,-0.04321933333333334,-0.04462976190476191,-0.04184589947089947,-0.987137995928624,-0.9873564581835971,-0.9868963068105404,benefit
square,0.4,44,50,1000,0.5192259336496174,0.5018161453661886,0.5362524060623424,0.22910063117815196,0.20977274444122013,0.25043644174699725,0.141020852384965,0.12986870587159755,0.15344730137425064,-28.00983792395152,-28.724881467567148,-27.272683333337813,-8.412809859130574,-9.155894619473557,-7.657775826598473,-0.03182532275132275,-0.03591071428571428,-0.027507275132275133,-0.9896254706374084,-0.9899097194691238,-0.9893260740502006,benefit
square,0.4,56,50,1000,0.8843541138508313,0.8716093639726256,0.8979501182552786,0.18202534031818582,0.17393318515835596,0.1901229371693401,0.11136986195614115,0.10521996300124632,0.11813302287075357,-32.997893864905,-33.54489421607039,-32.49109772644989,-28.99885561918959,-29.57415476635809,-28.45004924578757,-0.0462580582010582,-0.047444708994709,-0.04500462962962963,-0.9914846299132728,-0.9917002851714798,-0.9912753419944657,benefit
square,0.4,68,50,1000,1.0705977247663019,1.049065738618494,1.0923296431010432,0.08935884089699891,0.07802843871011943,0.10131529445682287,0.026579290378833356,0.013363819503494955,0.04071499670623536,-31.76786441731784,-32.531558510044825,-30.990970874188207,-26.403160458780597,-26.963048813059434,-25.818797258759336,-0.047234899470899476,-0.04834920634920635,-0.045978306878306875,-0.9908195837805516,-0.9910438229347739,-0.9905993508348298,benefit
lemniscate,0.2,0,50,1000,-0.09179581965905104,-0.09654365845116675,-0.0873781497698983,0.017669917866937737,8.001024260455175e-05,0.035524271203535907,-0.016082410250027886,-0.02880047898324423,-0.0015137852883892041,42.85496079169026,40.143821275096705,45.64967417680232,47.721491492091765,39.77691504497157,56.25330773561879,0.1596868783068783,0.14482619047619047,0.17568518518518517,-0.990873065381206,-0.9910580140171197,-0.9906778323771823,harm_cost_dominance
lemniscate,0.2,8,50,1000,-0.4826819552914256,-0.5829242936834426,-0.38384650604781706,0.9868505781339707,0.9848020637710726,0.9886478503591738,0.9284510711024297,0.9187732037083348,0.9375578562912005,104.82525470795622,83.35073097722686,126.86254456947057,784.427047038892,641.7889316282992,942.083647743608,0.4623318994708994,0.3715777777777778,0.5521964285714285,-0.9891900214927657,-0.9894874282679594,-0.9888901510430851,harm_cost_dominance
lemniscate,0.2,18,50,1000,0.17522665997973905,0.1484082403796846,0.19555988353599305,0.9943372486024237,0.993495244656723,0.9951424801839568,0.9800512421992655,0.9782370385852568,0.9816822823070711,-20.729838685193325,-23.040028978152485,-17.723571735110223,13.578081252274401,-25.448822495536422,62.03176020247009,-0.02122774603174603,-0.03503716931216932,-0.0028222222222222286,-0.9927381611536658,-0.9929454591924779,-0.9925150779997662,benefit
lemniscate,0.2,26,50,1000,0.2487070356824496,0.2404177551302695,0.2570263025444478,0.9904140677372504,0.9889312037696827,0.9918131931394115,0.9782442001829261,0.9753832575382547,0.9811292391711451,-20.376896986811342,-20.93505978942536,-19.833289724187633,-41.10931141021618,-47.1496519377573,-34.966106655767874,-0.04454272486772487,-0.045698677248677246,-0.042744576719576724,-0.9945123165710573,-0.9946376968843174,-0.9943832766045608,benefit
lemniscate,0.2,34,50,1000,0.21696531741845912,0.2037262689834871,0.22994023012122772,0.9230311077342265,0.8910704026410085,0.9454908673494897,0.8741803738031588,0.8360391686398682,0.9009559562963422,-13.706782612308144,-14.479164581927016,-12.914984485312365,51.716148015654205,33.05776190310049,71.58397242324517,-0.019121174603174605,-0.02326560846560847,-0.014956613756613762,-0.9907021363501698,-0.9909674749614693,-0.990417275240642,benefit
lemniscate,0.2,44,50,1000,0.2920169422295205,0.262709813920306,0.3318170270372329,0.6557955348102936,0.5820447284739981,0.7240547229467235,0.5268908826394971,0.4309300502477376,0.6129818524640247,-13.911731677294767,-15.799014438998249,-12.470170297869513,36.6636153288723,25.6863744788907,47.922760294906034,-0.03436197354497355,-0.03752910052910053,-0.03075634920634921,-0.9906281743668051,-0.9908856437370549,-0.9903633543982556,benefit
