traj,tr,delay,mc,rmse_honest,rmse_t3,gap_h_minus_t3,osc_honest,osc_t3,osc_change_pct,edot_honest,edot_t3,edot_change_pct,tail_q95_honest,tail_rate_honest,tail_rate_t3,tail_delta,tail_mse_share_honest,tail_mse_share_t3,energy_relief,abs_relief,vel_oppose,delta_perp_abs,delta_norm,raw_cos_vel,mechanism_class
circle,0.3,18,50,0.5181153763940166,0.4739672740731111,0.04414810232090549,0.4127414919770232,0.42696225221416556,3.445439945712935,0.01878203599274545,0.025951421134795025,38.17150145190345,0.857480491269129,0.05,0.05750793650793651,0.007507936507936505,3.524389490337412,4.400055040963363,0.7444715823629656,0.5554708575562867,-0.6039055197905062,0.12165589883145826,0.132492209736414,-0.9804392222581997,benefit
circle,0.3,26,50,0.8090805346694077,0.667554733809044,0.1415258008603637,0.6243395136220364,0.5606256711922724,-10.204999209489921,0.025260650907117523,0.028876589001134326,14.314508787478713,1.4727152345804606,0.05,0.012761904761904763,-0.03723809523809524,4.212297917375974,5.896883741782112,0.6307617229811148,0.4810852215916889,-0.57711878096066,0.1325764839877906,0.1465573041379832,-0.9790268089465287,benefit
circle,0.3,34,50,1.2222377311370014,0.8932163444473997,0.3290213866896017,1.0818066996661226,0.7442956014375214,-31.198836015015907,0.03632398718199456,0.03316486394950595,-8.697071763001798,2.2194332387713076,0.05,0.00291005291005291,-0.04708994708994709,3.738512955886447,6.608574507361784,0.5849771913238632,0.41992478975429415,-0.5266837848699442,0.15079782391599333,0.17212435542346843,-0.9754053078135634,benefit
circle,0.3,44,50,1.2753186953914446,1.4687662258528729,-0.19344753046142826,0.9734719501458529,1.3347674675598296,37.11411688436154,0.02891641642338016,0.04363141939812028,50.888058737228334,2.2793515734799388,0.05,0.13017460317460317,0.08017460317460316,3.95170181627853,3.134142641132885,0.6571662590242159,0.5502286511172766,-0.3035315344695569,0.1306615410463671,0.16584776093402026,-0.9759913990741599,harm_cost_dominance
circle,0.3,56,50,1.7436086042404515,1.7509746623230567,-0.007366058082605154,1.2248009150097656,1.460790270036824,19.26756847866856,0.03231096975482819,0.040809140714784545,26.301194375088276,3.0363622255365867,0.05,0.07807936507936508,0.02807936507936508,4.457477771981338,3.854308507251449,0.6095458347679281,0.49550797739511027,-0.3227705437937792,0.10831891569289874,0.13452202062233204,-0.9810067106313825,harm_cost_dominance
circle,0.3,68,50,3.0534508996434933,2.4810737436556702,0.572377155987823,2.7932222413027588,2.2013073700725103,-21.1911126324831,0.057872560423457786,0.05056663729319389,-12.624157418783058,5.144858921103511,0.05,0.002195767195767196,-0.04780423280423281,3.09604002415546,4.44479927961879,0.6503454680791495,0.5474430631065759,-0.19684769806125257,0.11381075559521138,0.1568070344734419,-0.9780852953998894,benefit
circle,0.4,0,50,0.29199390107328943,0.29537592067767604,-0.00338201960438661,0.2547955759089008,0.2907489620059377,14.110679107611556,0.015120357888515455,0.04476457704207304,196.05500987587772,0.5364624353086271,0.05,0.0528994708994709,0.002899470899470895,3.915704499184187,4.332829944296571,0.5672966135777688,0.40772102524359766,-0.6899933764405976,0.5903629109545709,0.6745403131914857,-0.985890533890689,harm_cost_dominance
circle,0.4,8,50,0.34328205373251697,0.3480140491403337,-0.004731995407816714,0.309762811447293,0.3310958906995397,6.886907809399101,0.016320717863500638,0.0347314186688359,112.80570473790601,0.6238925937192442,0.05,0.060693121693121695,0.010693121693121692,3.8137913953237654,4.32690105554387,0.5219051647131544,0.36620209168689294,-0.6539425254267157,0.43853565443902714,0.4778725965215095,-0.9924216952744678,harm_cost_dominance
circle,0.4,18,50,0.512469354302712,0.3850279875319878,0.1274413667707242,0.38949028550062337,0.3719381698751839,-4.506432195820787,0.01842359224660856,0.03309501988773282,79.63391418971868,0.8578258081972242,0.05,0.018994708994708995,-0.031005291005291008,3.6077396171452043,6.229587255451409,0.6181795789657105,0.3923521962863535,-0.6365414476308396,0.4047523267169871,0.4380025517625639,-0.9925669245223956,benefit
circle,0.4,26,50,0.8053380692498205,0.5774539288072925,0.22788414044252803,0.620411708923694,0.506634709069652,-18.33895108963076,0.025077374954508867,0.04171530250102098,66.34636829425075,1.4711422899046736,0.05,0.0014126984126984128,-0.04858730158730159,4.274270434899889,7.2105710300246,0.2729065759152043,0.11803419963768906,-0.6528072417652291,0.5484921194889365,0.6219703481149778,-0.9904334735046092,benefit
