base_condition_id,paired_id,q_dirs,traj,tr,delay,rep,rmse_t3,rmse_honest,rmse_gap_t3_minus_honest
sscrn_circle_tr0.35_d34_rep7,sscrn_circle_tr0.35_d34_rep7_q8,8,circle,0.35,34,7,0.6006593324234851,1.2860164739320166,-0.6853571415085314
sscrn_circle_tr0.35_d34_rep7,sscrn_circle_tr0.35_d34_rep7_q16,16,circle,0.35,34,7,0.5157547210129233,0.6895769097531195,-0.17382218874019617
sscrn_square_tr0.25_d12_rep0,sscrn_square_tr0.25_d12_rep0_q4,4,square,0.25,12,0,0.34205991588073836,0.8983009423365095,-0.5562410264557711
sscrn_square_tr0.25_d12_rep0,sscrn_square_tr0.25_d12_rep0_q8,8,square,0.25,12,0,0.3356849232470835,0.6933460012165515,-0.35766107796946806
sscrn_square_tr0.25_d12_rep0,sscrn_square_tr0.25_d12_rep0_q16,16,square,0.25,12,0,0.3373392117090724,0.5072429986265539,-0.16990378691748148
sscrn_square_tr0.25_d12_rep1,sscrn_square_tr0.25_d12_rep1_q4,4,square,0.25,12,1,0.36295173625686333,0.9250963644230783,-0.562144628166215
sscrn_square_tr0.25_d12_rep1,sscrn_square_tr0.25_d12_rep1_q8,8,square,0.25,12,1,0.37710170324071607,0.704094273997479,-0.32699257075676297
sscrn_square_tr0.25_d12_rep1,sscrn_square_tr0.25_d12_rep1_q16,16,square,0.25,12,1,0.3650479944315303,0.49601387556749793,-0.13096588113596763
sscrn_square_tr0.25_d12_rep2,sscrn_square_tr0.25_d12_rep2_q4,4,square,0.25,12,2,0.3462032347657812,0.6170228346459462,-0.270819599880165
sscrn_square_tr0.25_d12_rep2,sscrn_square_tr0.25_d12_rep2_q8,8,square,0.25,12,2,0.338385197979045,0.6969622843560659,-0.3585770863770209
sscrn_square_tr0.25_d12_rep2,sscrn_square_tr0.25_d12_rep2_q16,16,square,0.25,12,2,0.3172402265157597,0.5218787993078371,-0.20463857279207737
sscrn_square_tr0.25_d12_rep3,sscrn_square_tr0.25_d12_rep3_q4,4,square,0.25,12,3,0.35384668176708134,0.8874531276394774,-0.533606445872396
sscrn_square_tr0.25_d12_rep3,sscrn_square_tr0.25_d12_rep3_q8,8,square,0.25,12,3,0.434355430622046,0.7135371639309169,-0.2791817333088709
sscrn_square_tr0.25_d12_rep3,sscrn_square_tr0.25_d12_rep3_q16,16,square,0.25,12,3,0.35396167268901535,0.5318500647775491,-0.1778883920885338
sscrn_square_tr0.25_d12_rep4,sscrn_square_tr0.25_d12_rep4_q4,4,square,0.25,12,4,0.35591391857127014,0.6461571390173545,-0.29024322044608436
sscrn_square_tr0.25_d12_rep4,sscrn_square_tr0.25_d12_rep4_q8,8,square,0.25,12,4,0.3837465408856565,0.695713876915445,-0.31196733602978843
sscrn_square_tr0.25_d12_rep4,sscrn_square_tr0.25_d12_rep4_q16,16,square,0.25,12,4,0.35155007756592394,0.532506780661125,-0.18095670309520107
sscrn_square_tr0.25_d12_rep5,sscrn_square_tr0.25_d12_rep5_q4,4,square,0.25,12,5,0.33178514744272697,0.60650723796616,-0.27472209052343305
sscrn_square_tr0.25_d12_rep5,sscrn_square_tr0.25_d12_rep5_q8,8,square,0.25,12,5,0.3288759853550545,0.6691492132876079,-0.3402732279325534
sscrn_square_tr0.25_d12_rep5,sscrn_square_tr0.25_d12_rep5_q16,16,square,0.25,12,5,0.3227894846218697,0.5223199561068038,-0.19953047148493414
sscrn_square_tr0.25_d12_rep6,sscrn_square_tr0.25_d12_rep6_q4,4,square,0.25,12,6,0.36489493317159083,0.926949355733356,-0.5620544225617652
sscrn_square_tr0.25_d12_rep6,sscrn_square_tr0.25_d12_rep6_q8,8,square,0.25,12,6,0.34082799319815477,0.6852946078674544,-0.3444666146692997
sscrn_square_tr0.25_d12_rep6,sscrn_square_tr0.25_d12_rep6_q16,16,square,0.25,12,6,0.33192176603153206,0.5103900102098927,-0.17846824417836066
sscrn_square_tr0.25_d12_rep7,sscrn_square_tr0.25_d12_rep7_q4,4,square,0.25,12,7,0.35430483142582536,0.6502866952869084,-0.29598186386108305
