q_dirs,traj,tr,delay,rep,paired_id,base_condition_id,vote_bin_switch_rate,vote_switch_chord2_mean,agg_cell_switch_rate,agg_cell_jump_chord2_mean,path_event_rate,endpoint_wrap_rate,branch_event_rate,vote_path_coincident_rate,positive_err2_increment_t3,counterfactual_event_cost_sscrn,positive_counterfactual_event_cost_sscrn,rmse_t3,rmse_honest,rmse_gap_t3_minus_honest
4,circle,0.35,34,6,sscrn_circle_tr0.35_d34_rep6_q4,sscrn_circle_tr0.35_d34_rep6,0.18719999999999998,0.37439999999999996,0.19,0.38,0.0,0.0,0.0,0.0,0.948528154929694,0.05792234402726595,1.1990210848013063,1.4527717973079113,1.723453427034225,-0.2706816297263137
4,circle,0.35,34,7,sscrn_circle_tr0.35_d34_rep7_q4,sscrn_circle_tr0.35_d34_rep7,0.1814,0.3628,0.18,0.36,0.0,0.0,0.0,0.0,0.9888433089385096,0.010594270650790119,1.299334308707507,1.511881010248883,1.6944341300000936,-0.18255311975121047
4,lemniscate,0.25,12,0,sscrn_lemniscate_tr0.25_d12_rep0_q4,sscrn_lemniscate_tr0.25_d12_rep0,0.26899999999999996,0.54,0.27,0.54,0.22,0.0,0.22,0.2,0.3345870197285956,-0.004290179501465608,0.35188053501207056,0.6426003410076434,0.8248473140157642,-0.18224697300812076
4,lemniscate,0.25,12,1,sscrn_lemniscate_tr0.25_d12_rep1_q4,sscrn_lemniscate_tr0.25_d12_rep1,0.27899999999999997,0.5952,0.28,0.6,0.12,0.0,0.12,0.09,0.35425056537748545,-0.00365828523120015,0.5468175967123098,0.7303148178921988,0.8235934262329131,-0.09327860834071433
4,lemniscate,0.25,12,2,sscrn_lemniscate_tr0.25_d12_rep2_q4,sscrn_lemniscate_tr0.25_d12_rep2,0.6731999999999999,2.37,0.74,2.66,0.37,0.0,0.37,0.37,0.29494527497653433,0.024545272369418263,0.44876739928181414,1.1488632490327393,0.824506289076652,0.32435695995608727
4,lemniscate,0.25,12,3,sscrn_lemniscate_tr0.25_d12_rep3_q4,sscrn_lemniscate_tr0.25_d12_rep3,0.294,0.624,0.3,0.64,0.23,0.0,0.23,0.21,0.3371883422944648,-0.007343877918554804,0.5608431876486064,0.6481484282841355,0.8247082023680345,-0.176559774083899
4,lemniscate,0.25,12,4,sscrn_lemniscate_tr0.25_d12_rep4_q4,sscrn_lemniscate_tr0.25_d12_rep4,0.4456,1.3476,0.47,1.46,0.29,0.0,0.29,0.29,0.3846493729911362,0.03336652294812714,0.45506931843526666,0.952425264216525,0.8242119103718373,0.12821335384468768
4,lemniscate,0.25,12,5,sscrn_lemniscate_tr0.25_d12_rep5_q4,sscrn_lemniscate_tr0.25_d12_rep5,0.55,1.8376,0.6,2.06,0.34,0.0,0.34,0.33,0.29506818697775483,0.007182835423612326,0.36095096617940786,1.0649889290871826,0.8269222719337818,0.2380666571534008
4,lemniscate,0.25,12,6,sscrn_lemniscate_tr0.25_d12_rep6_q4,sscrn_lemniscate_tr0.25_d12_rep6,0.8518000000000001,3.2532,0.94,3.66,0.47,0.0,0.47,0.47,0.3432712376631175,0.012873666658661215,0.36413610538826047,1.3359064232291924,0.8248401720936588,0.5110662511355336
4,lemniscate,0.25,12,7,sscrn_lemniscate_tr0.25_d12_rep7_q4,sscrn_lemniscate_tr0.25_d12_rep7,0.478,1.5168000000000001,0.51,1.66,0.28,0.0,0.28,0.28,0.39279949788171803,-0.00721960652154708,0.45990777481049927,0.9120439793966206,0.8223106445898217,0.0897333348067989
4,lemniscate,0.25,34,0,sscrn_lemniscate_tr0.25_d34_rep0_q4,sscrn_lemniscate_tr0.25_d34_rep0,0.2152,0.43119999999999997,0.2,0.4,0.21,0.0,0.21,0.11,0.9408091630347172,0.01057516893783402,1.2071267163282051,1.5779850269728006,1.669189712250419,-0.09120468527761827
